code,subject,number,title,credits_min,credits_max,level,school,section_count
SOAD-C 381,SOAD,381,TOPIC ISSUES IN COLLBRTV DSGN,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-D 170,SOAD,170,INTERIOR DESIGN STUDIO I,3.0,3.0,100,School of Art and Design (SOAD),4
SOAD-D 191,SOAD,191,DESIGN STUDIES: FORM & FUNCTION,3.0,3.0,100,School of Art and Design (SOAD),1
SOAD-D 263,SOAD,263,DESIGN METHODS,3.0,3.0,200,School of Art and Design (SOAD),2
SOAD-D 264,SOAD,264,DIGITAL ARCHITECTURAL DRAWING,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-D 271,SOAD,271,INTERIOR DESIGN STUDIO II,3.0,3.0,200,School of Art and Design (SOAD),2
SOAD-D 300,SOAD,300,"DESIGN, CULTURE AND CONTEXT",3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-D 321,SOAD,321,DESIGN HISTORY I,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-D 323,SOAD,323,DESIGN HISTORY III,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-D 366,SOAD,366,LIGHTING INTERIOR SPACES,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-D 369,SOAD,369,PRACTICES & DOC IN INT DESIGN,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-D 374,SOAD,374,INTERIOR DESGN VERTICAL STUDIO,3.0,3.0,300,School of Art and Design (SOAD),5
SOAD-F 202,SOAD,202,INTRO TEXTILE SCIENCE: LAB,1.0,1.0,200,School of Art and Design (SOAD),2
SOAD-F 203,SOAD,203,MATERIALS FOR FSHN DSGN & MRCH,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-F 207,SOAD,207,FASHION STUDIO I,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-F 213,SOAD,213,FASHN DSGN I: RSCH & ILLUSTRATN,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-F 305,SOAD,305,FASHION STUDIO III,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 311,SOAD,311,HISTORY OF DRESS,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 317,SOAD,317,FASHION DESIGN RESEARCH,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 325,SOAD,325,EXPER FASHN STUDIO: SHAPE & FNDTN,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 340,SOAD,340,HISTORY OF FASHION,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 352,SOAD,352,FASHION STUDIES: AESTHETICS,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-F 402,SOAD,402,CLLCTN MGMT-HIST TEXTLS & COSTMS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-F 411,SOAD,411,FASHION ST: BEHAVIORAL ANLYSIS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-G 901,SOAD,901,ADVANCED RESEARCH,6.0,6.0,900,School of Art and Design (SOAD),1
SOAD-M 109,SOAD,109,APPAREL INDUSTRIES,3.0,3.0,100,School of Art and Design (SOAD),1
SOAD-M 204,SOAD,204,MANUF & QUALITY ANALYSIS,3.0,3.0,200,School of Art and Design (SOAD),2
SOAD-M 219,SOAD,219,PROF DEVELOP IN MERCHANDISING,2.0,2.0,200,School of Art and Design (SOAD),3
SOAD-M 255,SOAD,255,DIGITAL MERCHANDISING,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-M 308,SOAD,308,BRAND MANAGEMENT & ADVERTISING,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-M 315,SOAD,315,PRINCIPLES-RETAIL MERCHANDISNG,3.0,3.0,300,School of Art and Design (SOAD),3
SOAD-M 327,SOAD,327,PRODUCT DEVELOPMENT,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-M 350,SOAD,350,OMNICHANNEL INNOVATION,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-M 385,SOAD,385,CASE STUDIES IN MERCHANDISING,2.0,2.0,300,School of Art and Design (SOAD),1
