code,subject,number,title,credits_min,credits_max,level,school,section_count
AAAD-A 100,AAAD,100,AF AM DANCE COMPNY FOUNDATIONS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 110,AAAD,110,AF AM CHORAL ENSEMBL FOUNDATNS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 113,AAAD,113,ATKINS LLC FOUNDATIONAL COURSE,1.0,1.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 120,AAAD,120,SOUL REVUE FOUNDATIONS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 150,AAAD,150,SURV CULTR OF BLACK AMERICANS,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),5
AAAD-A 156,AAAD,156,JIM CROW AND APARTHEID,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 199,AAAD,199,SPEC TPC ARTS & HUMANITIES AAADS,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 221,AAAD,221,DANCE IN THE AFRICAN DIASPORA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 238,AAAD,238,COMMUNICATION IN BLACK AMERICA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 249,AAAD,249,AFRICAN AMERICAN AUTOBIOGRAPHY,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 263,AAAD,263,CONTEMP SOC ISS-AFR AMER COMM,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 264,AAAD,264,HIST SPORT & AFRO-AMERICAN EXPER,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),5
AAAD-A 295,AAAD,295,SURVEY OF HIP HOP,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 297,AAAD,297,POPULAR MUSIC OF BLACK AMERICA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 331,AAAD,331,VISUAL ARTS HARLEM RENAISSANCE,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 337,AAAD,337,SOUL REVUE ADV STU PRACT,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 338,AAAD,338,AF AM DANCE CO ADV STDIES PRAC,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 339,AAAD,339,AACE ADV STU AND PRACT,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 354,AAAD,354,TRANSNATIONAL AMERICAS,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 355,AAAD,355,AFRICAN-AMERICAN HISTORY I,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 388,AAAD,388,MOTOWN,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 398,AAAD,398,ADV TPCS IN SOCIAL & HIST AAADS,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 479,AAAD,479,CONTEMPORARY BLACK POETRY,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 481,AAAD,481,RACISM AND THE LAW,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 493,AAAD,493,SENIOR SEMINAR IN AAADS,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 499,AAAD,499,HONORS THESIS,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 556,AAAD,556,RACE & CULTURE-AFRICAN DIASPORA,4.0,4.0,500,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 599,AAAD,599,MA THESIS RESEARCH,1.0,6.0,500,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 669,AAAD,669,INDEP PROJ BLACK SOCIAL ISSUES,3.0,3.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 679,AAAD,679,CONTEMPORARY BLACK POETRY,3.0,3.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 686,AAAD,686,GRAD INTERNSHIP AFRO-AMER STDS,4.0,4.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 689,AAAD,689,INDEP. PROG. IN BLK LITERATURE,3.0,3.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 690,AAAD,690,CORE RDGS IN AFRO-AMER STUDIES,4.0,4.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 698,AAAD,698,FIELD STUDY SEMINAR,4.0,4.0,600,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 699,AAAD,699,INDPT PROJECT IN BLACK MUS,3.0,3.0,600,African Am & Afri Diaspora Std (AAAD),2
AAAD-A 799,AAAD,799,STUDY & RESEARCH ABROAD IN AAADS,3.0,3.0,700,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 899,AAAD,899,PHD DISSERTATION RESEARCH,1.0,12.0,800,African Am & Afri Diaspora Std (AAAD),1
AAAD-G 599,AAAD,599,THESIS RESEARCH,0.0,0.0,500,African Am & Afri Diaspora Std (AAAD),1
AAAD-G 901,AAAD,901,ADVANCED RESEARCH,6.0,6.0,900,African Am & Afri Diaspora Std (AAAD),1
AAAD-X 373,AAAD,373,INTERNSHIP IN AAADS,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-X 490,AAAD,490,INDIV READ IN AFR AMER STUDIES,1.0,3.0,400,African Am & Afri Diaspora Std (AAAD),10
AADM-Y 500,AADM,500,TOPICS IN ARTS ADMINISTRATION,3.0,3.0,500,Arts Administration (AADM),3
AADM-Y 502,AADM,502,INTRO ARTS ADMIN & ORG BEHVIOR,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 506,AADM,506,CURATING IN GALLERIES & MUSEUM,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 511,AADM,511,PERFORMING ARTS CENTER MGMT,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 515,AADM,515,FINANCIAL MANAGEMENT FOR ARTS,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 550,AADM,550,PRACTICUM IN ARTS ADMIN,0.0,3.0,500,Arts Administration (AADM),2
AADM-Y 559,AADM,559,PUBLIC POLICY AND THE ARTS,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 562,AADM,562,LEGAL ISSUES IN THE ARTS,3.0,3.0,500,Arts Administration (AADM),1
AADM-Y 650,AADM,650,SEMINAR IN ARTS ADMINISTRATION,3.0,3.0,600,Arts Administration (AADM),1
AADM-Y 680,AADM,680,READINGS IN ARTS ADMIN,1.0,3.0,600,Arts Administration (AADM),1
AADM-Y 690,AADM,690,INDPT STUDY IN ARTS ADMIN,1.0,3.0,600,Arts Administration (AADM),1
AADM-Y 750,AADM,750,INTERNSHIP IN ARTS ADMIN,0.0,3.0,700,Arts Administration (AADM),1
AAST-A 200,AAST,200,ASIAN AMERICAN LITERATURE,3.0,3.0,200,Asian American Studies (AAST),1
AAST-A 201,AAST,201,ASIAN DIASPORA EXPERIENCE,3.0,3.0,200,Asian American Studies (AAST),1
ABEH-A 101,ABEH,101,INTRO ANIMAL BEHAVIOR,3.0,3.0,100,Animal Behavior (ABEH),1
ABEH-A 200,ABEH,200,ANIMAL BEHAVIOR WORKSHOP,3.0,3.0,200,Animal Behavior (ABEH),1
ABEH-A 310,ABEH,310,ANIMAL PHYSIOLOGY,3.0,3.0,300,Animal Behavior (ABEH),1
ABEH-A 350,ABEH,350,ANIMAL BEHAVIOR LABORATORY,3.0,3.0,300,Animal Behavior (ABEH),1
ABEH-A 400,ABEH,400,ADV WORKSHOP IN ANIMAL BEHAVR,3.0,3.0,400,Animal Behavior (ABEH),1
ABEH-A 401,ABEH,401,TOPICS IN ANIMAL BEHAVIOR,3.0,3.0,400,Animal Behavior (ABEH),1
ABEH-A 501,ABEH,501,SEM INTEG STDY OF ANM BEH,3.0,3.0,500,Animal Behavior (ABEH),1
ABEH-X 473,ABEH,473,ANIMAL BEHAVIOR INTERNSHIP,1.0,6.0,400,Animal Behavior (ABEH),1
ABEH-X 491,ABEH,491,IND STUDY IN ANIMAL BEHAVIOR,1.0,3.0,400,Animal Behavior (ABEH),2
AERO-A 100,AERO,100,INTRO TO AEROSPACE STUDIES,2.0,2.0,100,Aerospace Studies (AERO),1
AERO-A 101,AERO,101,INTRO TO THE AIR FORCE I,1.0,1.0,100,Aerospace Studies (AERO),2
AERO-A 151,AERO,151,AF LLAB I,1.0,1.0,100,Aerospace Studies (AERO),1
AERO-A 201,AERO,201,TEAM AND LDRSP FUND USAF I,1.0,1.0,200,Aerospace Studies (AERO),1
AERO-A 215,AERO,215,AIR FORCE ROTC PT,1.0,1.0,200,Aerospace Studies (AERO),1
AERO-A 301,AERO,301,LEADING AND COMM USAF I,3.0,3.0,300,Aerospace Studies (AERO),1
AERO-A 401,AERO,401,NATL SEC PREP ACTV DUTY I,3.0,3.0,400,Aerospace Studies (AERO),1
AFRI-A 100,AFRI,100,INTRO TO AFRICAN STUDIES,3.0,3.0,100,African Studies (AFRI),1
AFRI-A 300,AFRI,300,"QUEENS, WARRIORS, PRES: W. AFR",3.0,3.0,300,Gender Studies (GNDR),0
AFRI-A 500,AFRI,500,ADV TOPICS IN AFRICAN STUDIES,1.0,4.0,500,African Studies (AFRI),1
AFRI-A 651,AFRI,651,IND RESEARCH/DIRECTED READINGS,1.0,3.0,600,African Studies (AFRI),1
AFRI-B 101,AFRI,101,ELEMENTARY BAMANA I,4.0,4.0,100,African Studies (AFRI),1
AFRI-B 201,AFRI,201,INTERMEDIATE BAMANA I,3.0,3.0,200,African Studies (AFRI),1
AFRI-B 301,AFRI,301,ADVANCED BAMANA I,3.0,3.0,300,African Studies (AFRI),1
AFRI-B 501,AFRI,501,ELEMENTARY BAMANA I,3.0,3.0,500,African Studies (AFRI),1
AFRI-B 601,AFRI,601,INTERMEDIATE BAMANA I,3.0,3.0,600,African Studies (AFRI),1
AFRI-B 701,AFRI,701,ADVANCED BAMANA I,3.0,3.0,700,African Studies (AFRI),1
AFRI-K 101,AFRI,101,ELEMENTARY AKAN I,4.0,4.0,100,African Studies (AFRI),2
AFRI-K 201,AFRI,201,INTERMEDIATE AKAN I,3.0,3.0,200,African Studies (AFRI),2
AFRI-K 301,AFRI,301,ADVANCED AKAN I,3.0,3.0,300,African Studies (AFRI),1
AFRI-K 501,AFRI,501,ELEMENTARY AKAN I,3.0,3.0,500,African Studies (AFRI),1
AFRI-K 601,AFRI,601,INTERMEDIATE AKAN I,3.0,3.0,600,African Studies (AFRI),2
AFRI-K 701,AFRI,701,ADVANCED AKAN I,3.0,3.0,700,African Studies (AFRI),1
AFRI-L 100,AFRI,100,TOPICS IN AFRI SOCIETY & CULTURE,3.0,3.0,100,African Studies (AFRI),1
AFRI-L 101,AFRI,101,YOUTH MIGRATION/LDRSHIP AFRICA,3.0,3.0,100,African Studies (AFRI),1
AFRI-L 231,AFRI,231,AFRICAN CIVILIZATION,3.0,3.0,200,African Studies (AFRI),1
AFRI-L 232,AFRI,232,CONTEMPORARY AFRICA,3.0,3.0,200,African Studies (AFRI),1
AFRI-L 250,AFRI,250,AFRICAN EXPRESSIVE ROUTINES,3.0,3.0,200,African Studies (AFRI),1
AFRI-L 506,AFRI,506,TUTORIAL INSTRUCT FOREIGN LANG,1.0,6.0,500,African Studies (AFRI),1
AFRI-S 101,AFRI,101,ELEMENTARY SWAHILI 1,4.0,4.0,100,African Studies (AFRI),1
AFRI-S 201,AFRI,201,INTERMEDIATE SWAHILI 1,3.0,3.0,200,African Studies (AFRI),1
AFRI-S 301,AFRI,301,ADVANCED SWAHILI 1,3.0,3.0,300,African Studies (AFRI),1
AFRI-S 501,AFRI,501,ELEMENTARY SWAHILI I,3.0,3.0,500,African Studies (AFRI),1
AFRI-S 601,AFRI,601,INTERMEDIATE SWAHILI I,3.0,3.0,600,African Studies (AFRI),1
AFRI-S 701,AFRI,701,ADVANCED SWAHILI I,3.0,3.0,700,African Studies (AFRI),1
AFRI-X 390,AFRI,390,READINGS & RSRCH: AFRICAN STUDIES,1.0,3.0,300,African Studies (AFRI),1
AFRI-X 391,AFRI,391,INDIVL STDY OF AN AFRICAN LANG,1.0,4.0,300,African Studies (AFRI),1
AFRI-X 473,AFRI,473,INTERNSHIP IN AFRICAN STUDIES,1.0,4.0,400,African Studies (AFRI),1
AFRI-X 491,AFRI,491,ADV INDIV STUDY: AFRICAN LANG,3.0,3.0,400,African Studies (AFRI),2
AFRI-X 773,AFRI,773,INTERNSHIP IN AFRICAN STUDIES,1.0,6.0,700,African Studies (AFRI),1
AFRI-Y 101,AFRI,101,ELEMENTARY YORUBA I,4.0,4.0,100,African Studies (AFRI),1
AFRI-Y 201,AFRI,201,INTERMEDIATE YORUBA I,3.0,3.0,200,African Studies (AFRI),1
AFRI-Y 301,AFRI,301,ADVANCED YORUBA I,3.0,3.0,300,African Studies (AFRI),2
AFRI-Y 501,AFRI,501,ELEMENTARY YORUBA I,3.0,3.0,500,African Studies (AFRI),1
AFRI-Y 601,AFRI,601,INTERMEDIATE YORUBA I,3.0,3.0,600,African Studies (AFRI),1
AFRI-Y 701,AFRI,701,ADVANCED YORUBA I,3.0,3.0,700,African Studies (AFRI),2
AMST-A 100,AMST,100,WHAT IS AMERICA?,3.0,3.0,100,American Studies (AMST),10
AMST-A 200,AMST,200,COMPARATIVE AMER IDENTITIES,3.0,3.0,200,American Studies (AMST),1
AMST-A 201,AMST,201,U.S. MOVEMENTS & INSTITUTIONS,3.0,3.0,200,American Studies (AMST),2
AMST-A 207,AMST,207,POPULAR MUSIC CRITICAL THEORY,3.0,3.0,200,American Studies (AMST),1
AMST-A 305,AMST,305,WWII INTERNMENT FILM HIST ART,3.0,3.0,300,American Studies (AMST),1
AMST-A 350,AMST,350,TOPICS: INTERDISCIPLINARY AMST,3.0,3.0,300,American Studies (AMST),1
AMST-A 399,AMST,399,ADVANCED TOPICS S & H FOR AMST,3.0,3.0,300,American Studies (AMST),1
AMST-G 620,AMST,620,COLLOQUIUM IN AMERICAN STUDIES,3.0,4.0,600,American Studies (AMST),1
AMST-G 751,AMST,751,"RACE, GENDER & DISABILITY",4.0,4.0,700,Afro-American Studies (AFRO),0
AMST-G 753,AMST,753,INDEPENDENT STUDY,1.0,4.0,700,American Studies (AMST),1
AMST-G 805,AMST,805,PHD THESIS,1.0,12.0,800,American Studies (AMST),1
AMST-G 901,AMST,901,ADVANCED RESEARCH,6.0,6.0,900,American Studies (AMST),1
AMST-X 390,AMST,390,READINGS IN AMERICAN STUDIES,1.0,3.0,300,American Studies (AMST),1
ANAT-A 225,ANAT,225,HUMAN ANATOMY,5.0,5.0,200,Anatomy (ANAT),14
ANAT-A 464,ANAT,464,HUMAN TISSUE BIOLOGY,4.0,4.0,400,Anatomy (ANAT),1
ANAT-A 515,ANAT,515,HUMAN ANATOMY FOR EDUCATORS,5.0,5.0,500,Anatomy (ANAT),1
ANAT-A 530,ANAT,530,SPECIAL TOPICS,1.0,5.0,500,Biology (BIOL),1
ANAT-A 620,ANAT,620,HUMAN STRUCTURE,9.0,9.0,600,Anatomy (ANAT),1
ANAT-A 800,ANAT,800,RESEARCH IN ANATOMY,1.0,12.0,800,Anatomy (ANAT),1
ANAT-A 850,ANAT,850,TOPICAL SEMINAR IN ANATOMY,1.0,1.0,800,Anatomy (ANAT),1
ANAT-A 878,ANAT,878,ANATOMY TEACHING PRACTICUM,2.0,2.0,800,Anatomy (ANAT),1
ANTH-A 102,ANTH,102,HUMAN EXPERIENCE,3.0,3.0,100,Anthropology (ANTH),1
ANTH-A 107,ANTH,107,BECOMING HUMAN: EVOLUTION,3.0,3.0,100,Anthropology (ANTH),4
ANTH-A 122,ANTH,122,INTERPERSONAL COMMUNICATION,3.0,3.0,100,Anthropology (ANTH),15
ANTH-A 399,ANTH,399,HONORS TUTORIAL,3.0,3.0,300,Anthropology (ANTH),1
ANTH-A 521,ANTH,521,INTRO TO COLLEGE TEACHING,3.0,3.0,500,Anthropology (ANTH),1
ANTH-A 576,ANTH,576,GRADUATE MUSEUM PRACTICUM,1.0,6.0,500,Anthropology (ANTH),1
ANTH-A 578,ANTH,578,GRADUATE INTERNSHIP ANTHROPLGY,1.0,6.0,500,Anthropology (ANTH),1
ANTH-A 595,ANTH,595,GRADUATE READINGS IN ANTH,1.0,4.0,500,Anthropology (ANTH),3
ANTH-A 800,ANTH,800,RESEARCH,1.0,18.0,800,Anthropology (ANTH),4
ANTH-B 111,ANTH,111,INTRO TO CHIMPANZEE BEHAVIOR,3.0,3.0,100,Anthropology (ANTH),1
ANTH-B 200,ANTH,200,BIOANTHROPOLOGY,4.0,4.0,200,Anthropology (ANTH),7
ANTH-B 370,ANTH,370,HUMAN VARIATION,3.0,3.0,300,Anthropology (ANTH),1
ANTH-B 380,ANTH,380,EVOLUTION OF HUMAN COGNITION,3.0,3.0,300,Anthropology (ANTH),1
ANTH-B 464,ANTH,464,HUMAN PALAEONTOLOGY,3.0,3.0,400,Anthropology (ANTH),1
ANTH-B 500,ANTH,500,PROSEMINAR IN BIOANTHROPOLOGY,3.0,3.0,500,Anthropology (ANTH),1
ANTH-B 570,ANTH,570,HUMAN ADAPTATION: BIOL APPRCHS,3.0,3.0,500,Anthropology (ANTH),1
ANTH-E 200,ANTH,200,SOCIAL & CULTURAL ANTHROPOLOGY,3.0,3.0,200,Anthropology (ANTH),1
ANTH-E 206,ANTH,206,CHANTING DOWN BABYLON,3.0,3.0,200,Anthropology (ANTH),1
ANTH-E 208,ANTH,208,"GLOBAL JAZZ, REGGAE, & HIP HOP",3.0,3.0,200,Anthropology (ANTH),1
ANTH-E 260,ANTH,260,"CULTURE, HEALTH AND ILLNESS",3.0,3.0,200,Anthropology (ANTH),7
ANTH-E 302,ANTH,302,ETHNOGRAPHIC METHODS,3.0,3.0,300,Anthropology (ANTH),1
ANTH-E 344,ANTH,344,ON THE MOVE ACROSS ASIA,3.0,3.0,300,Anthropology (ANTH),1
ANTH-E 346,ANTH,346,GLOBAL ANARCHY,3.0,3.0,300,Anthropology (ANTH),1
ANTH-E 386,ANTH,386,"PERF, CULTURE, PWR IN MID EAST",3.0,3.0,300,Anthropology (ANTH),1
ANTH-E 400,ANTH,400,UNDERGRADUATE SEMINAR,3.0,3.0,400,Anthropology (ANTH),1
ANTH-E 418,ANTH,418,GLOBALIZATION & CONSUMER CULTR,3.0,3.0,400,Anthropology (ANTH),1
ANTH-E 421,ANTH,421,FOOD AND CULTURE,3.0,3.0,400,Anthropology (ANTH),1
ANTH-E 600,ANTH,600,SEMINAR CULTURAL & SOCIAL ANTH,3.0,3.0,600,Anthropology (ANTH),1
ANTH-E 612,ANTH,612,ANTH OF RUSSIA AND EAST EUROPE,3.0,3.0,600,Anthropology (ANTH),1
ANTH-E 621,ANTH,621,FOOD AND CULTURE,3.0,3.0,600,Anthropology (ANTH),1
ANTH-E 648,ANTH,648,"POWER, SUBJECTIVITY, & THE STATE",3.0,3.0,600,Anthropology (ANTH),1
ANTH-G 599,ANTH,599,THESIS RESEARCH,0.0,0.0,500,Anthropology (ANTH),1
ANTH-G 901,ANTH,901,ADVANCED RESEARCH,6.0,6.0,900,Anthropology (ANTH),1
ANTH-H 500,ANTH,500,HIST ANTH THGHT 19TH-20TH CENT,3.0,3.0,500,Anthropology (ANTH),1
ANTH-L 200,ANTH,200,LANGUAGE AND CULTURE,3.0,3.0,200,Anthropology (ANTH),1
ANTH-L 314,ANTH,314,PERFRMNCE AS COMMUNICATVE PRAC,3.0,3.0,300,Anthropology (ANTH),1
ANTH-L 400,ANTH,400,SEM IN ETHNOGRAPHY OF COMM,3.0,3.0,400,Anthropology (ANTH),1
ANTH-L 600,ANTH,600,SEMINAR IN ETHNOGRAPHY OF COMM,3.0,3.0,600,Anthropology (ANTH),1
ANTH-P 200,ANTH,200,INTRODUCTION TO ARCHAEOLOGY,3.0,3.0,200,Anthropology (ANTH),4
ANTH-P 375,ANTH,375,FOOD IN THE ANCIENT WORLD,3.0,3.0,300,Anthropology (ANTH),1
ANTH-P 385,ANTH,385,LITHIC TECH ORGANIZATION,3.0,3.0,300,Anthropology (ANTH),1
ANTH-P 575,ANTH,575,FOOD IN THE ANCIENT WORLD,3.0,3.0,500,Anthropology (ANTH),1
ANTH-X 371,ANTH,371,UGRD TEACHING PRACTICUM,1.0,6.0,300,Anthropology (ANTH),1
ANTH-X 476,ANTH,476,MUSEUM PRACTICUM,1.0,4.0,400,Anthropology (ANTH),1
ANTH-X 477,ANTH,477,FIELDWORK IN ANTHROPOLOGY,1.0,8.0,400,Anthropology (ANTH),1
ANTH-X 478,ANTH,478,PRACTICUM IN ANTHROPOLOGY,1.0,8.0,400,Anthropology (ANTH),1
ANTH-X 479,ANTH,479,FIELDWORK IN BIOANTHROPOLOGY,1.0,8.0,400,Anthropology (ANTH),1
ANTH-X 490,ANTH,490,INDIVIDUAL READINGS IN ANTH,1.0,4.0,400,Anthropology (ANTH),3
ARTH-A 101,ARTH,101,ANCIENT AND MEDIEVAL ART,3.0,3.0,100,Art History (ARTH),4
ARTH-A 102,ARTH,102,RENAISSANCE THROUGH MODERN ART,3.0,3.0,100,Art History (ARTH),5
ARTH-A 155,ARTH,155,INTRODUCTION TO AFRICAN ART,3.0,3.0,100,Art History (ARTH),1
ARTH-A 160,ARTH,160,INTRODUCTION TO EAST ASIAN ART,3.0,3.0,100,Art History (ARTH),1
ARTH-A 200,ARTH,200,TOPICS IN ART HISTORY,3.0,3.0,200,Art History (ARTH),1
ARTH-A 204,ARTH,204,EAST ASIAN BUDDHIST ART,3.0,3.0,200,Art History (ARTH),1
ARTH-A 205,ARTH,205,BAROQUE ART IN EUROPE,3.0,3.0,200,Art History (ARTH),1
ARTH-A 206,ARTH,206,CLASSICAL ART & ARCHEOLOGY,3.0,3.0,200,Art History (ARTH),1
ARTH-A 207,ARTH,207,INTRO TO CONTEMPORARY ART,3.0,3.0,200,Art History (ARTH),1
ARTH-A 224,ARTH,224,THE GOTHIC CATHEDRAL,3.0,3.0,200,Art History (ARTH),1
ARTH-A 226,ARTH,226,ENVISIONING THE SACRED,3.0,3.0,200,Art History (ARTH),1
ARTH-A 282,ARTH,282,THE ART OF THE COMIC BOOK,3.0,3.0,200,Art History (ARTH),1
ARTH-A 300,ARTH,300,TOPICS IN ART HISTORY,3.0,3.0,300,Art History (ARTH),1
ARTH-A 303,ARTH,303,18TH CENTURY ART AND IDEAS,3.0,3.0,300,Art History (ARTH),1
ARTH-A 327,ARTH,327,CONTEMPORARY ART OF WEST ASIA,3.0,3.0,300,Art History (ARTH),1
ARTH-A 343,ARTH,343,HIST OF 20TH CENT PHOTOGRAPHY,3.0,3.0,300,Art History (ARTH),1
ARTH-A 361,ARTH,361,JAPANESE WOODBLOCK PRINTS,3.0,3.0,300,Art History (ARTH),1
ARTH-A 363,ARTH,363,CHINESE PAINTING,3.0,3.0,300,Art History (ARTH),1
ARTH-A 400,ARTH,400,SENIOR SEMINAR,3.0,3.0,400,Art History (ARTH),1
ARTH-A 412,ARTH,412,ART & ARCH OF THE AEGEAN,3.0,3.0,400,Art History (ARTH),1
ARTH-A 434,ARTH,434,VISUAL CULTURE-INTERWAR YEARS,3.0,3.0,400,Art History (ARTH),1
ARTH-A 436,ARTH,436,ITALIAN ART OF THE 15TH CENT,3.0,3.0,400,Art History (ARTH),1
ARTH-A 456,ARTH,456,THE ARABESQUE: KANT TO COMICS,3.0,3.0,400,Art History (ARTH),1
ARTH-A 490,ARTH,490,TOPICS IN ART HISTORY,3.0,3.0,400,Art History (ARTH),1
ARTH-A 500,ARTH,500,HISTORIOGRAPHY OF WESTERN ART,3.0,3.0,500,Art History (ARTH),1
ARTH-A 501,ARTH,501,TOPICS IN ANCIENT ART,3.0,3.0,500,Art History (ARTH),2
ARTH-A 534,ARTH,534,VISUAL CULTURE INTERWAR YEARS,3.0,3.0,500,Art History (ARTH),1
ARTH-A 590,ARTH,590,MUSEUM STUDIES,3.0,3.0,500,Art History (ARTH),1
ARTH-A 638,ARTH,638,PROB 16TH C ART OUTSIDE ITALY,3.0,3.0,600,Art History (ARTH),1
ARTH-A 640,ARTH,640,PROBLEMS IN MODERN ART,3.0,3.0,600,Art History (ARTH),1
ARTH-A 691,ARTH,691,CURATING MUSEUM EXHIBITIONS,3.0,3.0,600,Art History (ARTH),1
ARTH-A 775,ARTH,775,ADV READINGS AND RESEARCH,1.0,8.0,700,Art History (ARTH),3
ARTH-A 779,ARTH,779,DIRECTED FIELD WORK,1.0,12.0,700,Art History (ARTH),2
ARTH-A 879,ARTH,879,DOCTORAL DISSERTATION,1.0,12.0,800,Art History (ARTH),2
ARTH-G 901,ARTH,901,ADVANCED RESEARCH,6.0,6.0,900,Art History (ARTH),1
ARTH-X 376,ARTH,376,PROF PRACTICE HISTORY OF ART,1.0,6.0,300,Art History (ARTH),1
ARTH-X 491,ARTH,491,RDGS & RESEARCH IN ART HIST,1.0,3.0,400,Art History (ARTH),2
ASCS-Q 295,ASCS,295,DESIGN YOUR LIFE AND CAREER,2.0,2.0,200,Arts&Sciences Career Services (ASCS),32
ASCS-Q 299,ASCS,299,BUILD YOUR PROFESSIONAL STORY,1.0,1.0,200,Arts&Sciences Career Services (ASCS),13
ASCS-Q 300,ASCS,300,DESIGN YOUR CAREER,3.0,3.0,300,Arts&Sciences Career Services (ASCS),2
ASCS-X 265,ASCS,265,ARTS & SCIENCES GLOBAL TECH EXP,6.0,6.0,200,Arts&Sciences Career Services (ASCS),1
ASCS-X 373,ASCS,373,INTERNSHIP: THRY INTO PRACTICE,1.0,3.0,300,Arts&Sciences Career Services (ASCS),1
AST-A 100,AST,100,THE SOLAR SYSTEM,3.0,3.0,100,Astronomy (AST),3
AST-A 103,AST,103,SEARCH FOR LIFE THE UNIVERSE,3.0,3.0,100,Astronomy (AST),1
AST-A 105,AST,105,STARS AND GALAXIES,3.0,3.0,100,Astronomy (AST),2
AST-A 115,AST,115,BIRTH & DEATH OF THE UNIVERSE,3.0,3.0,100,Astronomy (AST),1
AST-A 305,AST,305,MOD OBSERVATIONAL TECHNIQUES,3.0,3.0,300,Astronomy (AST),1
AST-A 405,AST,405,COMPUTATIONAL ASTROPHYSICS,3.0,3.0,400,Astronomy (AST),1
AST-A 575,AST,575,STRUCT & EVOLUTION OF GALAXIES,3.0,3.0,500,Astronomy (AST),1
AST-A 780,AST,780,SEMINAR IN ASTRONOMY,2.0,2.0,700,Astronomy (AST),1
AST-A 890,AST,890,INTRODUCTION TO RESEARCH,1.0,12.0,800,Astronomy (AST),2
AST-A 899,AST,899,RESEARCH,1.0,12.0,800,Astronomy (AST),2
AST-G 901,AST,901,ADVANCED RESEARCH,6.0,6.0,900,Astronomy (AST),2
AST-S 499,AST,499,HONORS RESEARCH,3.0,3.0,400,Astronomy (AST),1
AST-X 299,AST,299,EXPLR RESEARCH: ASTRONOMY,1.0,1.0,200,Astronomy (AST),2
AST-X 390,AST,390,READING COURSE,1.0,6.0,300,Astronomy (AST),1
AST-X 399,AST,399,RESEARCH IN ASTRONOMY,1.0,6.0,300,Astronomy (AST),1
BIOC-B 530,BIOC,530,MACROMOLECULAR STRUCT/FUNCTION,1.5,1.5,500,Biochemistry (BIOC),1
BIOC-B 580,BIOC,580,INTRO TO BIOCHEMICAL RESEARCH,3.0,3.0,500,Biochemistry (BIOC),1
BIOC-B 600,BIOC,600,SEMINAR IN BIOCHEMISTRY,1.0,1.0,600,Biochemistry (BIOC),1
BIOC-B 680,BIOC,680,SPECIAL TOPICS IN BIOCHEMISTRY,1.5,1.5,600,Biochemistry (BIOC),3
