class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
10000,MUS-G 566,LEC,OPEN,,6,5,0,IN_PERSON,Kelly R,TUTH,10:25,12:20,MC,070
10001,MUS-O 141,LEC,OPEN,,18,11,0,,Caswell R,,,,ARR,
10002,CEUS-T 203,LEC,OPEN,,10,9,0,IN_PERSON,Kivik P,MOWEFR,11:35,12:25,WB,WEB
10003,CEUS-T 603,LEC,OPEN,,10,9,0,IN_PERSON,Kivik P,MOWEFR,11:35,12:25,WB,WEB
10004,MUS-P 110,LAB,CLOSED,,8,0,1,IN_PERSON,Yao E,MOWE,12:45,13:35,MA,315
10005,MUS-X 414,LEC,OPEN,,25,12,0,IN_PERSON,Miller A,MOWE,19:15,20:30,MA,B012
10010,NEUS-N 800,LEC,OPEN,,2,1,0,,Kawata K,,,,ARR,
10011,SPH-I 370,LAB,OPEN,,8,1,0,IN_PERSON,Hand N,WE,15:00,16:30,GF,194
10013,PSY-X 397,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10014,PSY-X 398,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10015,PSY-X 497,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10016,PSY-X 498,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10017,PSY-X 397,LEC,OPEN,,20,20,0,,Hajos N,,,,ARR,
10018,MUS-I 501,LEC,OPEN,COMPOSITION SEMINAR,1,1,0,IN_PERSON,Travers A; Yoon J,MO,19:55,20:45,SM,267
10019,CEUS-T 103,LEC,OPEN,,5,4,0,IN_PERSON,Kivik P,MOWEFR,12:45,13:35,WB,WEB
1002,AADM-Y 550,LEC,OPEN,,48,28,0,IN_PERSON,Starnes M,FR,09:00,13:00,PV,278
10020,CEUS-T 503,LEC,OPEN,,5,4,0,IN_PERSON,Kivik P,MOWEFR,12:45,13:35,WB,WEB
10021,CEUS-T 261,LEC,OPEN,,5,2,0,IN_PERSON,Legden T,MOWEFR,11:35,12:25,WB,WEB
10022,CEUS-T 661,LEC,OPEN,,5,2,0,IN_PERSON,Legden T,MOWEFR,11:35,12:25,WB,WEB
10023,GEOG-G 830,LEC,OPEN,,5,5,0,,Ficklin D; Loyal T,,,,ARR,
10024,LAW-B 501,LEC,OPEN,,100,43,0,IN_PERSON,Mattioli M,MOTUWE,08:45,10:00,LW,125
10025,LAW-B 501,LEC,OPEN,,84,24,0,IN_PERSON,Tomain J,MOTUWE,08:45,10:00,LW,122
10026,LAW-B 531,LEC,OPEN,,62,2,0,IN_PERSON,Madeira J,MOTUWE,10:35,11:50,LW,124
10027,LAW-B 531,LEC,OPEN,,5,4,0,IN_PERSON,Scott R,MOTUWE,10:35,11:50,LW,122
10028,LAW-B 531,LEC,OPEN,,100,42,0,IN_PERSON,Lubin A,MOTUWE,10:35,11:50,LW,125
10029,LAW-B 533,LEC,OPEN,,62,2,0,IN_PERSON,Cho C,MOTUWE,13:20,14:35,LW,124
1003,AADM-Y 650,LEC,OPEN,,24,10,0,IN_PERSON,Gahl-Mills K,TUTH,12:45,14:00,PV,A205
10030,LAW-B 533,LEC,OPEN,,84,25,0,IN_PERSON,Geyh C,MOTUWE,13:20,14:35,LW,122
10031,INST-I 100,LEC,OPEN,,45,12,0,IN_PERSON,Kirk G,TUTH,11:10,12:25,GA,1122
10034,SPCN-V 512,LEC,CLOSED,,30,0,5,,Ehrlich D,,,,WB,WEB
10036,MUS-J 340,LEC,OPEN,,40,28,0,IN_PERSON,Allen R; Wroth S,FR,09:15,10:00,MC,070
10037,MUS-B 110,LEC,OPEN,,10,9,0,,Tartell J,,,,ARR,
10038,MUS-Z 110,LEC,OPEN,HORN UNDERGRAD ELECTIVE,10,9,0,,Tartell J,,,,ARR,
10039,MUS-B 140,LEC,OPEN,,4,4,0,,Tartell J,,,,ARR,
1004,AADM-Y 680,LEC,OPEN,,20,20,0,,Gahl-Mills K,,,,ARR,
10040,MUS-B 120,LEC,OPEN,,10,3,0,,Tartell J; Burn M,,,,ARR,
10041,MUS-Z 110,LEC,OPEN,TRUMPET/COR UNDERGRAD ELECTIVE,10,3,0,,Tartell J; Burn M,,,,ARR,
10042,MUS-B 130,LEC,OPEN,,10,7,0,,Tartell J,,,,ARR,
10043,MUS-B 410,LEC,OPEN,,18,5,0,,Tryon D,,,,ARR,
10044,MUS-B 410,LEC,OPEN,,18,17,0,,Ambrose K,,,,ARR,
10045,MUS-B 910,LEC,OPEN,,18,16,0,,Tryon D,,,,ARR,
10046,MUS-B 910,LEC,OPEN,,10,9,0,,Ambrose K,,,,ARR,
10047,MUS-E 509,LEC,OPEN,,25,25,0,,Tartell J,,,,ARR,
10048,MUS-F 445,LEC,OPEN,,30,20,0,IN_PERSON,McKinney D,SU,19:00,22:00,MC,070
10049,MUS-F 545,LEC,OPEN,,30,20,0,IN_PERSON,McKinney D,SU,19:00,22:00,MC,070
1005,AADM-Y 690,LEC,OPEN,,20,20,0,,Gahl-Mills K,,,,ARR,
10050,MUS-I 300,LEC,OPEN,,25,10,0,IN_PERSON,Tryon D,SA,10:30,12:00,MC,040
10051,MUS-I 500,LEC,OPEN,,25,10,0,IN_PERSON,Tryon D,SA,10:30,12:00,MC,040
10052,MUS-I 300,LEC,CLOSED,,20,0,0,IN_PERSON,Bergman J,TH,19:00,21:00,MC,070
10053,MUS-I 500,LEC,CLOSED,,20,0,0,IN_PERSON,Bergman J,TH,19:00,21:00,MC,070
10054,MUS-Y 953,LEC,OPEN,,18,18,0,,Oddie J,,,,ARR,
10056,MUS-Y 941,LEC,OPEN,,10,8,0,,Matthews I,,,,ARR,
10057,MUS-Y 911,LEC,OPEN,,5,4,0,,Cooley T,,,,ARR,
10058,MUS-I 500,LEC,OPEN,,23,19,0,IN_PERSON,Ambrose K,MO,19:00,20:30,SM,340
10059,MUS-Y 854,LEC,OPEN,,5,2,0,,Oddie J,,,,ARR,
1006,AADM-Y 750,LEC,OPEN,,150,147,0,,Nicholson-Crotty J,,,,ARR,
10060,MUS-Y 853,LEC,OPEN,,12,7,0,,Oddie J,,,,ARR,
10061,MUS-Y 853,LEC,OPEN,,8,8,0,,Kalis D; Marsh D,,,,ARR,
10062,MUS-Y 844,LEC,OPEN,,5,2,0,,Blendulf J,,,,ARR,
10063,MUS-Y 843,LEC,CLOSED,,2,0,0,,Blendulf J,,,,ARR,
10064,MUS-Y 833,LEC,OPEN,,5,5,0,,Seraphinoff R,,,,ARR,
10066,MUS-Y 832,LEC,OPEN,,16,8,0,,Kwapis K; Marsh D,,,,ARR,
10067,MUS-Y 824,LEC,CLOSED,,2,0,0,,Marsh D; Northover K,,,,ARR,
10068,MUS-Y 811,LEC,OPEN,,12,9,0,,Marsh D; Cooley T,,,,ARR,
10069,MUS-Y 754,LEC,OPEN,,8,8,0,,Oddie J,,,,ARR,
1007,AERO-A 101,LEC,OPEN,,58,41,0,IN_PERSON,Warner N; Benning B,WE,10:10,11:00,TV,245
10074,MUS-Y 144,LEC,OPEN,,5,4,0,,Blendulf J,,,,ARR,
10075,MUS-Y 143,LEC,OPEN,,10,10,0,,Blendulf J,,,,ARR,
10076,MUS-Y 133,LEC,OPEN,,5,5,0,,Seraphinoff R,,,,ARR,
10077,MUS-Y 132,LEC,OPEN,,16,8,0,,Kwapis K; Marsh D,,,,ARR,
10078,MUS-Y 124,LEC,OPEN,,2,2,0,,Marsh D; Northover K,,,,ARR,
10079,MUS-X 60,LEC,OPEN,,35,26,0,,Matthews I; Oddie J; Blendulf J; Marsh D,,,,ARR,
1008,AERO-A 201,LEC,OPEN,,40,16,0,IN_PERSON,Jenkins M; Warner N; Benning B,WE,09:10,10:00,TV,245
10080,MUS-I 300,LEC,OPEN,,23,19,0,IN_PERSON,Ambrose K,MO,19:00,20:30,SM,340
10081,MUS-M 635,LEC,OPEN,,12,7,0,IN_PERSON,Blendulf J,MOWE,10:10,11:00,MU,204
10082,MUS-M 415,LEC,OPEN,,12,1,0,IN_PERSON,Matthews I,TUTH,10:25,11:15,MU,205
10083,MUS-M 515,LEC,OPEN,,12,1,0,IN_PERSON,Matthews I,TUTH,10:25,11:15,MU,205
10084,MUS-F 501,LEC,OPEN,,8,3,0,IN_PERSON,Oddie J,TUTH,09:10,10:00,MU,205
10085,MUS-Y 450,LEC,OPEN,,35,28,0,,Blendulf J; Marsh D,,,,ARR,
10086,MUS-Y 550,LEC,OPEN,,35,28,0,,Blendulf J; Marsh D,,,,ARR,
10087,MUS-F 447,LEC,OPEN,,35,2,0,IN_PERSON,Bobo K; Gramley J,TUTH,12:45,14:45,MC,040
10088,MUS-F 547,LEC,OPEN,,35,2,0,IN_PERSON,Bobo K; Gramley J,TUTH,12:45,14:45,MC,040
10089,MUS-F 549,LEC,OPEN,,10,10,0,,Szmyt E,,,,ARR,
1009,AERO-A 301,LEC,OPEN,,20,8,0,IN_PERSON,Warner N; Jenkins M,WE,09:10,11:10,KD,301
10090,MUS-F 449,LEC,OPEN,,12,7,0,,Szmyt E,,,,ARR,
10091,MUS-I 501,LEC,OPEN,PERCUSSION,65,12,0,IN_PERSON,Gramley J,WE,16:30,18:00,MC,070
10092,MUS-I 301,LEC,OPEN,PERCUSSION,65,12,0,IN_PERSON,Gramley J,WE,16:30,18:00,MC,070
10094,MUS-I 501,LEC,OPEN,HISTORICAL PERF COLLOQUIUM,35,32,0,IN_PERSON,Marsh D,WE,11:35,12:25,MU,205
10095,MUS-F 330,LEC,OPEN,,10,6,0,IN_PERSON,Miller A,MOWE,12:45,14:00,MA,401
10096,MUS-I 300,LEC,OPEN,,6,5,0,IN_PERSON,Matthews I,TU,19:00,20:45,MU,205
10097,MUS-F 530,LEC,OPEN,,10,6,0,IN_PERSON,Miller A,MOWE,12:45,14:00,MA,401
10098,MUS-I 500,LEC,OPEN,,5,4,0,,Oddie J,,,,ARR,
10099,MUS-I 301,LEC,OPEN,TRUMPET,54,14,0,IN_PERSON,Bergman J; Tartell J; Curnow J,MO,20:30,21:45,MA,454
1010,AERO-A 401,LEC,OPEN,,15,5,0,IN_PERSON,Warner N; Harman T,TU,08:00,10:00,KD,301
10100,MUS-I 501,LEC,OPEN,TRUMPET,54,14,0,IN_PERSON,Bergman J; Tartell J; Curnow J,MO,20:30,21:45,MA,454
10101,MUS-I 300,LEC,OPEN,,18,3,0,IN_PERSON,Szmyt E,WE,14:30,16:30,MA,007
10102,MUS-I 500,LEC,OPEN,,18,3,0,IN_PERSON,Szmyt E,WE,14:30,16:30,MA,007
10104,MUS-I 300,LEC,OPEN,,5,4,0,,Blendulf J,,,,ARR,
10105,MUS-I 300,LEC,OPEN,,10,1,0,IN_PERSON,Cooley T,MO,18:15,20:15,MU,205
10106,MUS-I 500,LEC,OPEN,,10,1,0,IN_PERSON,Cooley T,MO,18:15,20:15,MU,205
10107,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Ball S,TU,08:00,19:00,AH,C1001A
10108,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Marte A,TU,08:00,19:00,AH,C1001A
10109,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Degener C,TU,08:00,19:00,AH,C1001A
1011,SOAD-M 204,LEC,CLOSED,,30,0,1,IN_PERSON,White S,MOWE,11:10,12:25,KH,116
10110,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Degener C,TU,08:00,19:00,AH,C1001A
10111,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Wyatt E,TH,08:00,19:00,AH,C1001A
10112,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Marte A,TH,08:00,19:00,AH,C1001A
10113,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Lupfer J,TH,08:00,19:00,AH,C1001A
10114,NURS-B 235,LEC,CLOSED,,10,0,0,IN_PERSON,Wyatt E,TH,08:00,19:00,AH,C1001A
10115,MUS-Z 110,LEC,OPEN,JAZZ GUITAR UNDERGRAD ELECTIVE,12,7,0,,Lerner P,,,,ARR,
10116,SPH-K 693,LEC,OPEN,,5,4,0,,Johnson B,,,,ARR,
10117,PSY-X 398,LEC,OPEN,,20,20,0,,Hajos N,,,,ARR,
10118,PSY-X 398,LEC,OPEN,,20,20,0,,Katona I,,,,ARR,
10119,PSY-X 397,LEC,OPEN,,20,20,0,,Katona I,,,,ARR,
1012,SOAD-M 315,LEC,CLOSED,,30,0,7,IN_PERSON,Addington M,TUTH,12:45,14:00,KH,116
10120,PSY-X 497,LEC,OPEN,,20,20,0,,Hajos N,,,,ARR,
10121,PSY-X 497,LEC,OPEN,,20,20,0,,Hugenberg K,,,,ARR,
10122,PSY-X 497,LEC,OPEN,,20,20,0,,Katona I,,,,ARR,
10123,PSY-X 498,LEC,OPEN,,20,20,0,,Hajos N,,,,ARR,
10124,PSY-X 498,LEC,OPEN,,20,20,0,,Katona I,,,,ARR,
10125,CEUS-T 571,LEC,OPEN,,5,5,0,IN_PERSON,Rabsal G,MOWEFR,08:00,08:50,WB,WEB
10126,MUS-O 821,LEC,OPEN,,5,5,0,,Walsh T,,,,ARR,
10127,DSCI-D 390,LEC,OPEN,,20,20,0,,Ensmenger N,,,,ARR,
10128,SPH-K 693,LEC,OPEN,,5,5,0,,Schlader Z,,,,ARR,
10135,SPH-R 696,LEC,OPEN,,1,1,0,,Forist B,,,,HD,TBA
1014,AMST-G 901,LEC,OPEN,,5,4,0,,Lepselter S,,,,ARR,
10142,HISP-C 105,LEC,OPEN,,8,8,0,IN_PERSON,Plymale A,MOWEFR,11:35,12:25,WB,WEB
10145,SPH-K 799,LEC,OPEN,,10,10,0,,Kercher K,,,,ARR,
10146,BUS-F 540,LEC,OPEN,,45,4,0,IN_PERSON,Sibley S,TUTH,09:35,10:50,CG,1008
10147,GNDR-G 695,LEC,OPEN,,2,2,0,,Allen S,,,,ARR,
10148,MSCH-H 498,LEC,OPEN,,5,5,0,,Weaver A,,,,ARR,
1015,ANAT-A 530,LEC,OPEN,,10,6,0,,Husmann P; O'Loughlin V; Dunham S; Davis J,,,,ARR,
10150,MUS-V 400,LEC,OPEN,,13,9,0,,Gill K,,,,ARR,
10151,MUS-I 300,LEC,OPEN,,18,14,0,IN_PERSON,Gill K,TH,18:00,20:00,SM,242
10152,MUS-I 300,LEC,OPEN,,25,6,0,IN_PERSON,Zorman I,TH,19:00,21:00,MC,040
10153,MUS-I 500,LEC,OPEN,,25,6,0,IN_PERSON,Zorman I,TH,19:00,21:00,MC,040
10154,ENGR-Y 395,LEC,OPEN,,50,23,0,IN_PERSON,Thompson C,TH,14:20,15:35,TE,F160
10155,SWK-S 300,LEC,OPEN,GRIEF & LOSS ACROSS THE LIFESPAN,30,3,0,,Simonton Jr M,,,,WB,WEB
10156,MUS-Q 700,LEC,OPEN,,1,1,0,,Fishell J,,,,ARR,
10158,MUS-I 300,LEC,OPEN,,10,1,0,IN_PERSON,Kang C,WE,18:45,20:00,MA,454
10159,MUS-I 500,LEC,OPEN,,10,1,0,IN_PERSON,Kang C,WE,18:45,20:00,MA,454
1016,ANAT-A 800,LEC,OPEN,,10,7,0,,Husmann P; O'Loughlin V; Dunham S,,,,ARR,
10160,MUS-B 420,LEC,OPEN,,18,4,0,,Tartell J,,,,ARR,
10161,MUS-B 920,LEC,OPEN,,18,16,0,,Tartell J,,,,ARR,
10162,MUS-I 300,LEC,OPEN,,25,12,0,IN_PERSON,Tartell J,TH,19:00,20:30,MA,004
10163,MUS-I 500,LEC,OPEN,,25,12,0,IN_PERSON,Tartell J,TH,19:00,20:30,MA,004
10164,REL-R 170,LEC,CLOSED,,75,0,1,IN_PERSON,McLeod A,MOWE,13:55,14:45,WH,003
10165,REL-R 170,DIS,CLOSED,,25,0,1,IN_PERSON,McLeod A; Jackson T,FR,12:45,13:35,BH,215
10166,REL-R 170,DIS,CLOSED,,25,0,0,IN_PERSON,McLeod A; Jackson T,FR,13:55,14:45,SB,220
10167,REL-R 170,DIS,CLOSED,,25,0,0,IN_PERSON,Jackson T,FR,15:10,16:00,BH,306
10168,CMLT-C 216,LEC,CLOSED,,27,0,0,IN_PERSON,Gerrard C,MOWE,12:45,14:00,SB,138
10169,ILS-Z 410,LEC,OPEN,,35,1,0,IN_PERSON,Soe Y,MOWE,08:00,09:15,IF,1104
1017,ANAT-A 850,LEC,OPEN,,15,9,0,IN_PERSON,Husmann P; Dunham S; O'Loughlin V,FR,11:40,12:40,AH,C3101
10170,INFO-I 300,LEC,OPEN,,60,6,0,IN_PERSON,Blevis S,MOWE,14:20,15:35,BH,008
10171,INFO-I 709,LEC,OPEN,SEMINAR IN ACI,35,26,0,IN_PERSON,Nippert-Eng C,TUTH,15:55,17:15,I,107
10172,INFO-I 511,LAB,OPEN,,24,12,0,IN_PERSON,Martin C,MO,20:05,21:30,I,109
10173,INFO-I 411,LAB,OPEN,,24,12,0,IN_PERSON,Martin C,MO,20:05,21:30,I,109
10176,INFO-I 369,LEC,CLOSED,,32,0,2,IN_PERSON,Radicchi F,MOWE,15:55,17:10,IF,0119
10177,BUS-F 210,LEC,CLOSED,,105,0,6,IN_PERSON,Arcot S; Haeberle D; Wegener M; Wertz J; Torabi A,MOWE,17:30,18:45,HH,1000
10178,BUS-F 303,LEC,CLOSED,,50,0,10,IN_PERSON,Baba Yara F,MOWE,15:55,17:10,HH,1050
10179,BUS-F 303,LEC,CLOSED,,50,0,5,IN_PERSON,Baba Yara F,MOWE,17:30,18:45,HH,1050
1018,ANTH-A 399,LEC,OPEN,,10,8,0,,Osterhoudt S,,,,ARR,
10180,BUS-F 303,LEC,CLOSED,,50,0,0,IN_PERSON,Baba Yara F,MOWE,19:05,20:20,HH,1050
10181,CSCI-A 310,LAB,OPEN,,25,11,0,IN_PERSON,German D,FR,12:45,14:35,PH,154
10183,BUS-M 344,LEC,OPEN,,32,1,0,IN_PERSON,Riley Simone J,TUTH,15:55,17:10,CG,3044
10184,BUS-A 306,LEC,CLOSED,,171,0,3,IN_PERSON,Clark J,TU,08:00,09:15,HH,1000
10185,BUS-A 306,LEC,CLOSED,,171,0,9,IN_PERSON,Clark J,TU,09:35,10:50,HH,1000
10186,BUS-A 306,LEC,CLOSED,,171,0,9,IN_PERSON,Clark J,TU,11:10,12:25,HH,1000
10187,BUS-A 306,LEC,CLOSED,,171,0,8,IN_PERSON,Clark J,TU,12:45,14:00,HH,1000
10188,BUS-A 306,DIS,CLOSED,,38,0,1,IN_PERSON,Demere W; Stephens A,FR,12:45,14:00,HH,3079
10189,BUS-A 306,DIS,OPEN,,38,1,3,IN_PERSON,Demere W; Strouse J,FR,09:35,10:50,HH,4034
1019,ANTH-A 521,LEC,OPEN,,15,5,0,IN_PERSON,Robinson J,FR,08:30,11:00,SB,138
10190,BUS-A 306,DIS,CLOSED,,38,0,0,IN_PERSON,Demere W; Strouse J,FR,11:10,12:25,HH,4034
10191,BUS-A 312,LEC,CLOSED,,52,0,4,IN_PERSON,Li C,TUTH,19:05,20:20,HH,2057
10192,BUS-M 415,LEC,OPEN,,30,10,0,IN_PERSON,Bastianelli A,TUTH,11:10,12:25,HH,1038
10193,BUS-A 311,LEC,CLOSED,,52,0,1,IN_PERSON,Johnson R,MOWE,08:00,09:15,HH,3030
10194,ECON-B 252,LEC,CLOSED,,50,0,23,IN_PERSON,Liu P,TUTH,09:35,10:50,WH,121
10195,CSCI-C 200,LEC,OPEN,,120,31,0,IN_PERSON,Hmeljak M,MOWE,15:55,17:10,BH,310
10196,BUS-M 401,LEC,CLOSED,,35,0,0,IN_PERSON,Wooldridge B,TUTH,12:45,14:00,HH,2047
10197,BUS-M 428,LEC,OPEN,,30,17,0,IN_PERSON,Blair III J,MOWE,09:35,10:50,HH,3075
10199,BUS-M 303,LEC,OPEN,,34,9,0,IN_PERSON,Vander Schee B,TUTH,17:30,18:45,HH,2055
1020,ANTH-A 800,LEC,OPEN,,100,88,0,,King S,,,,ARR,
10201,SPH-M 382,LEC,CLOSED,,150,0,1,IN_PERSON,Coble C,MOWEFR,09:10,10:00,WH,101
10202,CSCI-B 505,LAB,OPEN,,25,18,0,IN_PERSON,Qaaidi S,FR,11:30,12:20,I,109
10203,BUS-A 315,LEC,OPEN,,32,3,0,IN_PERSON,Lyman R,TU,18:30,19:45,HH,3030
10204,BUS-A 316,LEC,OPEN,,32,2,0,IN_PERSON,Coleman F,WE,18:30,19:45,HH,4026
10206,SPH-K 150,LEC,CLOSED,,250,0,1,IN_PERSON,Cothran D,TH,09:35,10:50,BH,013
10207,ENGR-E 315,LEC,CLOSED,,32,0,5,IN_PERSON,Swany M,MOWE,09:35,10:50,IF,4111
10208,ENGR-E 501,LEC,OPEN,,30,20,0,IN_PERSON,Jiang L,TUTH,15:55,17:10,IF,4063
10209,ECON-B 251,LEC,OPEN,,300,103,0,IN_PERSON,Lantis R,TUTH,11:10,12:25,WH,100
1021,ANTH-B 200,LEC,CLOSED,,225,0,23,IN_PERSON,Gibb J,MOWE,09:35,10:50,FA,015
10210,CLAS-C 211,LEC,CLOSED,,150,0,0,IN_PERSON,Blackwell N,TUTH,09:35,10:50,EP,257
10211,MUS-C 500,LEC,OPEN,,4,3,0,,Smith J,,,,ARR,
10212,LING-L 653,LEC,OPEN,,10,5,0,IN_PERSON,Berkson K,TUTH,11:10,12:25,BH,240
10213,SPH-R 210,LEC,OPEN,,8,7,0,IN_PERSON,McKissock B,TUTH,08:00,09:15,WH,101
10214,SPH-R 221,LEC,CLOSED,,65,0,0,IN_PERSON,Berry D,MO,13:55,16:25,PH,C100
10215,BUS-A 317,LEC,CLOSED,,35,0,0,IN_PERSON,Levitt B,TH,18:30,19:45,HH,3030
10216,HIST-C 320,LEC,CLOSED,,75,0,0,IN_PERSON,Elliott C,MOWE,14:20,15:35,BH,110
10217,BUS-L 375,LEC,CLOSED,,50,0,49,IN_PERSON,Jean-Pierre P,TUTH,11:10,12:25,HH,4030
10218,SPH-R 314,LEC,OPEN,,6,6,0,IN_PERSON,Ramly E,TUTH,08:00,09:15,GA,1112
10219,BUS-L 413,LEC,CLOSED,,40,0,13,IN_PERSON,Moore S,TUTH,11:10,12:25,HH,3059
1022,ANTH-E 200,LEC,OPEN,,144,2,0,IN_PERSON,Brondizio E,MOWE,12:45,14:00,WH,120
10220,SPH-R 414,LEC,OPEN,,10,9,0,IN_PERSON,Pickett D,TUTH,09:35,10:50,PH,013
10221,MUS-O 590,LEC,OPEN,,5,5,0,,Dobbins S,,,,ARR,
10222,MUS-O 590,LEC,OPEN,,5,5,0,,Gillespie L,,,,ARR,
10223,MUS-O 590,LEC,OPEN,,5,5,0,,Raymond J,,,,ARR,
10224,MUS-O 590,LEC,OPEN,,5,5,0,,Williams A,,,,ARR,
10225,MUS-O 590,LEC,OPEN,,5,5,0,,Ward G,,,,ARR,
10226,MUS-O 590,LEC,OPEN,,5,5,0,,Wallace W,,,,ARR,
10228,MUS-Z 110,LEC,OPEN,JAZZ VOICE UNDERGRAD ELECTIVE,18,11,0,,Caswell R,,,,ARR,
10229,GEOG-G 107,LAB,OPEN,,26,15,0,IN_PERSON,,TH,10:25,11:15,SB,131
1023,ANTH-G 901,LEC,OPEN,,60,46,0,,King S,,,,ARR,
10230,GEOG-G 109,LAB,CLOSED,,27,0,0,IN_PERSON,Beray Armond N,WE,10:25,11:15,SB,131
10231,GEOG-G 109,LAB,CLOSED,,27,0,0,IN_PERSON,Beray Armond N,WE,12:45,13:35,SB,131
10232,GEOG-G 109,LAB,CLOSED,,27,0,1,IN_PERSON,Beray Armond N,WE,11:35,12:25,SB,131
10233,GEOG-G 109,LAB,CLOSED,,27,0,0,IN_PERSON,Beray Armond N,WE,13:55,14:35,SB,131
10234,MUS-G 567,LEC,OPEN,,6,5,0,IN_PERSON,Kelly R,TUTH,10:25,12:20,MC,070
10235,EDUC-P 514,LEC,CLOSED,,15,0,0,IN_PERSON,Washul T,TU,11:10,13:40,ED,1235
10236,EDUC-G 355,LEC,OPEN,,28,9,0,IN_PERSON,Gu S,MOWE,09:35,10:50,ED,2025
10237,EDUC-G 332,LEC,OPEN,,28,9,0,IN_PERSON,Johnson K,MOWE,11:10,12:25,ED,1230
1024,ANTH-P 200,LEC,OPEN,,64,9,0,IN_PERSON,Arakawa F,TUTH,11:35,12:25,WY,005
10240,EDUC-Q 205,LEC,CLOSED,,24,0,1,IN_PERSON,Zolfaghari M,TUTH,12:45,14:30,ED,3105
10241,BIOL-L 111,LEC,OPEN,,79,1,0,IN_PERSON,Bracewell R,MOWEFR,09:10,10:00,SB,150
10242,EDUC-M 550,LEC,OPEN,,15,15,0,,,,,,ARR,
10243,EDUC-K 535,LEC,OPEN,,25,3,0,,Lowrey A,,,,WB,WEB
10245,CJUS-P 414,LEC,CLOSED,,25,0,9,IN_PERSON,Levesque R,WE,16:20,18:50,SY,003
10247,SPH-I 113,LEC,CLOSED,,18,0,0,IN_PERSON,Clemons R,TUTH,12:45,13:35,HD,TBA
10249,SPH-I 117,LEC,OPEN,,36,24,0,IN_PERSON,Clemons R; Cain G,TUTH,12:45,13:35,HD,TBA
10251,EDUC-G 647,LEC,CLOSED,,8,0,1,IN_PERSON,Laskowski L,FR,09:35,12:05,ED,0020
10252,BIOL-L 111,DIS,OPEN,,21,1,0,IN_PERSON,Bracewell R,WE,16:20,17:10,JH,A105
10253,BIOL-L 111,DIS,CLOSED,,20,0,0,IN_PERSON,Bracewell R,MO,10:25,11:15,JH,A106
10254,BIOL-L 111,DIS,CLOSED,,19,0,0,IN_PERSON,Bracewell R,WE,19:55,20:45,JH,A105
10255,BIOL-L 111,DIS,CLOSED,,19,0,0,IN_PERSON,Bracewell R,TH,17:30,18:20,JH,A105
10256,BIOT-T 508,LEC,OPEN,,20,10,0,IN_PERSON,Srivastava M,TUTH,11:10,12:25,JH,248
10257,DSCI-D 351,LEC,OPEN,,80,33,0,IN_PERSON,Tang H,TUTH,08:00,09:15,LU,1001
10258,EDUC-G 424,LEC,OPEN,,21,21,0,IN_PERSON,Gottipaty A,TUTH,14:20,15:35,ED,2025
10259,EDUC-M 470,LEC,OPEN,,21,21,0,,Gottipaty A,,,,WB,WEB
1026,AST-X 390,LEC,OPEN,,10,10,0,,Deliyannis C,,,,ARR,
10260,AAAD-A 679,LEC,OPEN,,5,2,0,IN_PERSON,Hamilton Abegunde M,MOWE,11:10,12:25,WI,C109
10261,COLL-C 104,LEC,OPEN,WHAT IS SCIENCE AND WHO CARES?,60,39,0,IN_PERSON,Cat J,MOWE,13:55,14:45,EP,257
10262,CEUS-T 493,LEC,OPEN,POST ADVANCED STUDY-HUNGARIAN,4,2,0,,Varga V,,,,ARR,
10266,CEUS-T 493,LEC,OPEN,POST-ADVANCED UYGHUR 1,4,4,0,,Nazarova G,,,,ARR,
10269,EDUC-E 335,LEC,OPEN,,20,20,0,,Ray L,,,,WB,WEB
1027,AST-A 780,LEC,OPEN,,20,10,0,IN_PERSON,Salim S,FR,14:50,16:30,SW,405
10271,EDUC-E 336,LEC,OPEN,,20,20,0,IN_PERSON,Castner D,TH,14:20,16:50,ED,3025
10272,EDUC-E 348,LEC,OPEN,,20,20,0,IN_PERSON,Shah P,TU,11:10,13:40,ED,1004
10273,EDUC-M 201,LEC,OPEN,LAB/FIELD EXP: ELEMENTARY,20,20,0,IN_PERSON,Daley S,WE,08:00,11:45,HD,TBA
10274,AFRI-K 101,LEC,OPEN,,25,21,0,IN_PERSON,Ofori S,MOWE,11:35,12:25,BH,144
10275,AFRI-K 301,LEC,OPEN,,15,14,0,,Ofori S,,,,HD,TBA
10278,EDUC-Z 204,LEC,CLOSED,,18,0,0,IN_PERSON,Rekas C,TH,12:45,15:15,ED,3115
