class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
32380,BUS-M 455,LEC,OPEN,INFLUENCER MARKETING,30,12,0,IN_PERSON,King K,TUTH,14:20,15:35,HH,3075
32383,GEOG-G 315,LEC,CLOSED,,60,0,7,IN_PERSON,Lave R,MOWE,15:55,17:10,AC,C002
32387,BUS-M 455,LEC,CLOSED,NEGOTIATION FOR SALES PRFSSNL,34,0,3,IN_PERSON,Peterson R,MOWE,14:20,15:35,HH,2047
32396,BUS-Z 204,LEC,OPEN,,30,3,0,IN_PERSON,Ash R,MOWE,09:35,10:50,HH,3057
32397,BUS-Z 204,LEC,CLOSED,,30,0,2,IN_PERSON,Ash R,MOWE,12:45,14:00,HH,2049
3240,MUS-S 410,LEC,OPEN,,9,2,0,,Brenner B,,,,ARR,
32400,SPAN-T 540,LEC,OPEN,,15,6,0,ONLINE,Willis E,,,,OL,ONLINE
32407,AMST-A 201,LEC,CLOSED,"ASYLUMS, PRISONS, AND US INST.",34,0,3,IN_PERSON,Rivers P,TUTH,09:35,10:50,SE,010
32414,SPEA-V 336,LEC,CLOSED,,22,0,1,IN_PERSON,Bell D,MOWE,09:35,10:50,PV,275
32423,SWK-S 371,LEC,OPEN,,30,1,0,,Johnson K,,,,WB,WEB
32424,SWK-S 371,LEC,CLOSED,,32,0,0,,Johnson K,,,,WB,WEB
32438,BIOL-T 583,LEC,OPEN,,40,19,0,ONLINE,Xue J,,,,OL,ONLINE
32455,EDUC-Q 620,LEC,OPEN,,20,13,0,IN_PERSON,Maltese A,MO,09:10,11:55,ED,3105
3256,HPSC-X 600,LEC,OPEN,,5,5,0,,Schickore J,,,,ARR,
32566,BUS-M 522,LEC,OPEN,,39,1,0,IN_PERSON,Schrift R,MOWE,12:45,14:10,CG,2069
32567,BUS-M 255,LEC,CLOSED,DIGITAL MARKETING WORKSHOP I,23,0,0,IN_PERSON,Vander Schee B,WE,15:55,18:55,HH,3030
3257,THTR-G 599,LEC,OPEN,,5,5,0,,Goodlander J,,,,ARR,
32570,BUS-M 653,LEC,OPEN,,10,4,0,IN_PERSON,Burke R,WE,13:00,15:30,HH,2103
32571,BUS-M 653,LEC,OPEN,,10,4,0,IN_PERSON,Mallapragada G,WE,13:30,16:00,HH,2103
32574,BIOL-L 104,LEC,CLOSED,THE BIOLOGY OF THE SENSES,60,0,5,IN_PERSON,Mojonnier L,TUTH,09:35,10:50,WY,005
3258,BIOC-G 901,LEC,OPEN,,50,38,0,,Nicola C; Bochman M,,,,ARR,
3259,CHEM-A 315,LAB,OPEN,,12,2,0,IN_PERSON,Thashmantha S,TU,14:00,18:00,CH,133
32590,CHEM-C 127,LEC,CLOSED,,252,0,10,IN_PERSON,Mata S; Parobek A; Vanderkamp J,TU,08:00,08:50,CH,122
32596,MSCH-X 360,LEC,OPEN,LA W/S SERIES: M & E TRENDS,35,14,0,IN_PERSON,Madejski I; Uslan D,TU,19:00,22:00,ARR,
